"NAME","CITY","COUNT"
GUERRIER,MIREBALAIS,400
JEUDY,MARIGOT,400
FRANÃ‡OIS,GONAIVES,398
NICOLAS,JACMEL,398
ALEXANDRE,CITE-SOLEIL,398
ADRIEN,CAPOTILLE,398
CASSEUS,DELMAS,397
GILLES,PORT-AU-PRINCE,397
OLIVIER,PORT-AU-PRINCE,397
TELFORT,CAP-HAITIEN,396
CADET,LIMBE,396
ALEXANDRE,PETITE-RIVIERE,395
EMILE,CARREFOUR,395
SANON,TABARRE,395
ULYSSE,L'ARCAHAIE,395
GEDEON,CARREFOUR,395
HONORE,PORT-AU-PRINCE,395
GASPARD,PORT-AU-PRINCE,394
MOISE,CITE-SOLEIL,394
MOISE,GONAIVES,394
CALIXTE,CROIX DES BOUQUETS,394
ROMELUS,PORT-AU-PRINCE,394
LAMOUR,JACMEL,393
JEUNE,SAINT MARC,393
AUGUSTIN,FORT-LIBERTE,393
AUGUSTE,GONAIVES,392
COMPERE,PORT-AU-PRINCE,392
THEODORE,MARIGOT,392
RAYMOND,L'ARCAHAIE,392
SIMON,CROIX DES BOUQUETS,391
PETIT,PORT-AU-PRINCE,391
DORMEUS,PETITE-RIVIERE,391
ALEXIS,BEAUMONT,391
ALTIDOR,DELMAS,390
ULYSSE,CARREFOUR,390
VIL,GANTHIER,390
HILAIRE,LEOGANE,390
JEAN-PIERRE,DELMAS,390
NOEL,SAINT-MICHEL,390
GEFFRARD,PORT-AU-PRINCE,390
LUBIN,MARIGOT,390
FELIX,CITE-SOLEIL,389
THOMAS,JACMEL,389
PIERRE-LOUIS,PETIT-GOAVE,389
ANTENOR,BELLE ANSE,388
CADET,PORT-DE-PAIX,387
THOMAS,LEOGANE,387
SIMILIEN,DELMAS,387
JANVIER,PETION-VILLE,387
